#;Media;Total;Categoría;Nombre;Apodo;Año;Procedencia;Equipo;Liga;"Pierna
Dominante";Posición;Impacto Ofensivo;Impacto Defensivo;Ritmo;Ejecución Técnica;Comportamiento Táctico;Skill RBB;Altura;Complexión;Comentarios;Rendimiento;Proyección;Contexto;Ojeador;Media Javi G;Media Á. Oñate;Media J.L. Tijerín;Media J. Román;Peso Impacto Ofensivo;Peso Impacto Defensivo;Peso Ritmo;Peso Ejecución Técnica;Peso Comportamiento Táctico;Peso Skill;NOM PROPIO SIN TILDES;Peso Altura;Peso Complexión;Etapa;Año Ponderación;;CONTRATOS;
606;6,91;41;Senior;Antonio Raimondo;Antonio Raimondo;2004;Italia;Frosinone Calcio;2ª División Italia;Zurdo;Delantero;8;6;7;6;7;7;4;3;"Antonio Raimondo es un delantero nacido en el año 2004, en una fase de madurez competitiva donde el foco ya está en rendimiento inmediato más que en desarrollo. Es de talla media-alta, con complexión fuerte y bien formado a nivel muscular, lo que le permite ser competitivo en el contacto y sostener duelos con solvencia. Es zurdo, con capacidad para finalizar con la derecha, aunque en situaciones de decisión tiende a perfilarse para ejecutar con su pierna dominante.
A nivel ofensivo, es un delantero con comportamiento claro de área, orientado a la finalización. Se mueve bien en zonas de remate, está atento a segundas jugadas y tiene instinto para aparecer en el momento adecuado. Su capacidad para atacar la espalda de la defensa y su cambio de ritmo le permiten ser también una amenaza en contextos más abiertos, no limitándose únicamente al juego posicional. Es más rematador que generador, con menor peso en la construcción o en el último pase.
En defensa, su aportación es correcta dentro de su perfil. Es un jugador que compite, es intenso en la presión, entra en duelos y utiliza su físico para incomodar a los rivales, aunque no destaca especialmente por lectura o impacto defensivo diferencial. Su valor está en la intensidad y en la capacidad para sostener esfuerzos más que en la interpretación.
En cuanto al ritmo, presenta un nivel bueno. Es rápido, con buena arrancada y capacidad para cambiar de ritmo, especialmente eficaz en rupturas al espacio. Su potencia le permite generar ventajas en carrera y ser peligroso en transiciones, encajando bien en modelos de juego más verticales.
A nivel técnico, ofrece un nivel correcto. Se desenvuelve bien con balón en acciones funcionales, puede conducir en ventaja y finalizar con solvencia tanto con el pie como en juego aéreo. No es un perfil especialmente fino ni creativo, pero sí eficaz dentro de su rol, con una técnica orientada a la finalización y al aprovechamiento de situaciones.
En comportamiento táctico, muestra una comprensión adecuada del juego como delantero. Se desmarca, ocupa bien el frente de ataque y sabe cuándo atacar espacios o fijar a la defensa. Puede abarcar diferentes zonas del ataque, aunque su mayor impacto sigue estando cerca del área. No es un jugador especialmente asociativo ni con gran influencia en la organización ofensiva, pero sí fiable en su comportamiento dentro de su rol.
En cuanto a la skill, no presenta un rasgo diferencial claro, sino un conjunto equilibrado de cualidades que le permiten rendir en distintos contextos. Su físico, su capacidad de remate, su amenaza al espacio y su competitividad hacen de él un delantero sólido, aunque sin una característica especialmente dominante que marque diferencias de forma constante.
En mi opinión, es un jugador que en el contexto del Betis Deportivo ofrecería rendimiento inmediato y elevaría el nivel competitivo de la posición de delantero centro. No sería, por edad, una apuesta de desarrollo ni de proyección, sino un perfil para competir desde el primer momento, útil en escenarios exigentes y capaz de aportar en diferentes contextos de partido. En cuanto a su proyección, pienso que es más estable que ascendente, más orientada a dar rendimiento a un buen nivel en contextos competitivos de nivel medio pero sin indicadores claros, en mi opinión, de nivel élite. ";A;B;Betis Deportivo;Javi Galán;6,73;;7,08;;0,28;0,04;0,14;0,10;0,10;0,22;;0,07;0,05;Rendimiento;2006;;30/06/2026;
607;4,33;24;Senior;Siren Diao Balde;Siren Diao;2005;España;CD Mirandés;2ª División España;Zurdo;Delantero;6;3;3;4;5;3;5;4;Zurdo. Delantero de área. Talla alta. Físico robusto y fuerte, y con buena zancada. Jugador de corte físico, técnicamente no es muy habilidoso ni tiene una gran fluidez con el balón. Aun así, juega de espaldas y recibe balones para tratar de jugarlos de cara o descargarlos a banda. No es especialmente rápido y su ritmo es más bien lento. No es muy intenso a nivel defensivo y de presión.;B;C;Betis Deportivo;J.L. Tijerín;;;4,33;;0,28;0,04;0,14;0,10;0,10;0,22;;0,07;0,05;Rendimiento;2006;;30/06/2026;
608;6,75;43;Senior;Daniel Mikolajewski;Daniel Mikolajewski;2006;Polonia;Parma U20;Liga U21 Italia;Diestro;Delantero;8;7;7;8;7;6;4;3;Diestro. Delantero de área. No tiene un físico muy voluminoso, pero es potente. Lucha y es aguerrido, no se arruga en los duelos ni da el balón por perdido fácilmente. Trabaja sin balón y repite esfuerzos. Dispara con fuerza y remata con ambas piernas. Técnicamente no es un virtuoso, pero no lo hace mal con balón. Cae a los costados y baja a recibir el balón y a participar en el juego colectivo. No es un jugador especialmente asociativo, pero combina con los compañeros y se atreve a jugar con balón, pese a que no sea su gran especialidad. Es internacional Sub-21 con Polonia.;A;B;Betis Deportivo;J.L. Tijerín;;;6,75;;0,28;0,04;0,14;0,10;0,10;0,22;;0,07;0,05;Rendimiento;2006;; ;
609;4,33;24;Senior;Yojan Garcés;Yojan Garcés;2006;Colombia;CD América de Cali;1ª División Colombia;Diestro;Delantero;6;3;3;4;5;3;5;4;Diestro. Delantero de área de corte físico. Talla alta. Corpulento y fuerte, con buena musculatura. Es un rematador puro, no participa mucho en el juego asociativo del equipo y cuando lo hace no es diferencial. Basa su juego en el físico, el cual emplea para hacerse fuerte en choques y duelos, y para cuerpear para proteger el balón. No es especialmente rápido ni explosivo y su ritmo de juego es más bien lento. Usa las dos piernas para pases y golpeos, pero no tiene una gran destreza y fluidez en el manejo del balón.;C;C;Betis Deportivo;J.L. Tijerín;;;4,33;;0,28;0,04;0,14;0,10;0,10;0,22;;0,07;0,05;Rendimiento;2006;;31/12/2027;
610;5,46;32;Senior;Yoshan Stiven Valois Murillo;Yoshan Valois;2004;Colombia;CA Lanús;1ª División Argentina;Diestro;Delantero;8;3;4;7;7;3;4;4;Diestro. Delantero de área. Talla media-alta. Jugador de corte físico, es robusto y su tren inferior está bastante desarrollado muscularmente. Es potente en sus acciones, pero no es rápido ni técnico. Participa en el juego del equipo, pero sin mucha creatividad, su perfil es más de terminar jugada que de participar en su elaboración. Usa las dos piernas y finaliza bien con ambas. Esta temporada se mostró como un buen rematador y con su anterior equipo, Deportivo Pasto, marcó una buena cifra de goles, 10, los cuales logró tanto con la diestra, como con la zurda como cabeceando. Cuatro de esos tantos fueron de cabeza, mostrando así su buen hacer en el juego aéreo. En marzo ha sido fichado por Lanús por 1,10 millones de euros (Dato de Transfermarkt).;B;C;Betis Deportivo;J.L. Tijerín;;;5,46;;0,28;0,04;0,14;0,10;0,10;0,22;;0,07;0,05;Rendimiento;2006;;31/12/2029;
611;5,86;37;Senior;Luis Mario Marimón Herrera;Luis Marimón;2004;Colombia;Llaneros FC;1ª División Colombia;Diestro;Delantero;7;7;6;6;6;5;4;4;Diestro. Delantero de movilidad. Talla media-alta. Físico compacto y robusto. Rápido y con cambio de ritmo. Arranca con explosividad y es potente en carrera y en conducción. Rompe al espacio y a la espalda de la defensa y genera peligro así. Se desenvuelve bien con balón y participa en el juego del equipo. Da buenos pases. Toca rápido para darle ritmo al juego y también se atreve a quedarse el balón y jugársela con individualidades. Golpea el balón con ambas piernas. Abarca campo, cayendo a los costados y bajando a recibir el balón y a participar en la construcción de juego. Cuerpea y trata de hacerse fuerte en las disputas y cuando juega de espaldas. Lucha y disputa el balón, y presiona tras pérdida. Le pone intensidad a sus acciones.;B;C;Betis Deportivo;J.L. Tijerín;;;5,86;;0,28;0,04;0,14;0,10;0,10;0,22;;0,07;0,05;Rendimiento;2006;;31/12/2026;
612;6,73;38;Senior;Ricardo Mathias da Silva;Ricardo Mathias;2006;Brasil;Al-Ahli SFC;1ª División Arabia Saudí;Diestro;Delantero;8;5;6;6;6;7;5;3;"Ricardo Mathias es un delantero centro del año 2006, en etapa de rendimiento (Senior), con una proyección que ya ha empezado a concretarse en el mercado y en su recorrido competitivo. Es diestro, de talla alta y complexión atlética, bien formado a nivel muscular, con un físico que le permite tener presencia, sostener contactos y condicionar a la defensa rival. Su perfil es claramente el de un nueve con capacidad para fijar, jugar de espaldas y actuar como referencia ofensiva, aunque también puede atacar espacios.
A nivel ofensivo, presenta un impacto alto para su edad y contexto. Es un delantero con buen comportamiento dentro del área, capaz de moverse bien en zonas de remate, desmarcarse y aprovechar situaciones de finalización. Tiene capacidad para marcar con ambas piernas y generar amenaza constante por su presencia física y su ocupación de espacios. Además, no solo puede actuar como rematador, sino también como punto de apoyo para dar continuidad al juego y facilitar llegadas de segunda línea. Su influencia ofensiva crece especialmente en contextos donde el equipo puede cargar volumen de centros al área o utilizarlo como referencia para progresar y fijar centrales.
En fase defensiva, su implicación es media. No es un delantero especialmente agresivo ni constante sin balón, aunque participa de forma razonable en esfuerzos y contactos. Su valor no está en la presión o en el trabajo defensivo sostenido, sino en su aportación ofensiva y en la capacidad de fijación que ofrece al equipo.
En cuanto al ritmo, presenta un nivel correcto. Tiene potencia en la arrancada y en carrera, apoyado por su estructura física y su zancada, pudiendo atacar espacios con amenaza. Es más potente que ágil, y en conducción genera ventajas más por impulso y fuerza que por control fino del balón. Puede correr y sostener transiciones, pero no es un perfil especialmente explosivo ni dinámico.
A nivel técnico, ofrece un nivel funcional. No es torpe con balón, sabe jugar de espaldas y puede dar continuidad a la jugada, pero no destaca por una ejecución especialmente precisa o limpia en controles y acciones técnicas. Su relación con el balón es útil dentro del rol, especialmente para descargar, aguantar o finalizar, aunque todavía tiene margen de mejora claro en la calidad de sus recepciones y en la limpieza de algunas ejecuciones.
En el plano táctico, muestra una comprensión adecuada del rol de delantero referencia. Sabe fijar, proteger, jugar de espaldas y ocupar bien zonas de remate. Puede facilitar ataques posicionales al servir de apoyo y permitir que otros jugadores se activen a partir de él. Aun así, tiene margen de mejora en la interpretación del juego, especialmente fuera de los contextos donde su rol está muy definido como referencia ofensiva.
En cuanto a la skill, presenta un valor claro en la combinación de físico, presencia, capacidad de fijación y amenaza de remate. No es un jugador diferencial por creatividad o talento técnico puro, pero sí por el tipo de problemas que plantea al rival desde su estructura, su capacidad para condicionar centrales y su utilidad como nueve de referencia.
En mi opinión, para el contexto del Betis Deportivo, el jugador ofrecería rendimiento en escenarios concretos y bien definidos, especialmente en partidos donde el equipo pudiera cargar volumen de centros al área o en contextos propositivos donde pudiera jugar de espaldas, facilitar llegadas de segunda línea y aguantar el balón para dar continuidad al ataque. Su encaje sería más puntual que general, pero dentro de esos registros aportaría un valor importante.
Su proyección, en cierto modo, ya es una realidad, como demuestra la inversión realizada por él y el tipo de recorrido competitivo que ya ha acumulado. Aun así, y en mi opinión, sigue siendo un jugador con mucho margen de mejora, especialmente en ejecución técnica, precisión en controles y evolución táctica fuera de su rol más natural. A medio plazo, su nivel parece encajar mejor en equipos que busquen un delantero referencia, rodeado de extremos profundos y dentro de contextos competitivos de nivel medio, donde su perfil pueda ser explotado de forma más constante y estructural.";B;B;Betis Deportivo;Javi Galán;6,52;;6,93;;0,28;0,04;0,14;0,10;0,10;0,22;;0,07;0,05;Rendimiento;2006;;30/06/2030;
613;6,85;41;Senior;Jorge Salustiano de Asís;Jorge De Asís;2006;Argentina;Club de Gimnasia y Esgrima La Plata;1ª División Argentina;Diestro;Delantero;8;4;7;8;8;6;5;4;Diestro. Delantero de área. Talla alta, destaca por su planta y poderío físico. Rápido y con destreza de movimientos pese a su gran estatura. Aprovecha su corpulencia en cuerpeos y para proteger el balón cuando lo tiene. Usa las dos piernas indistintamente y con fluidez, tiene gol con ambas. También marca tantos de cabeza, ya que su juego aéreo es poderoso, desde que ataca el balón en carrera hasta que cabecea, imprimiéndole además buena dirección y potencia al esférico. Mezcla físico y técnica a la hora de jugar. Es participativo en el juego y abarca campo, ya que baja a recibir el balón y se proyecta en ataque. Tiene presencia en el campo y cuando pisa el área. Posee habilidad con balón y se atreve a buscar el uno contra uno y a jugársela con individualidades, pero su estilo de juego no es ese y no es un perfil especialmente desequilibrante.;A;B;Betis Deportivo;J.L. Tijerín;;;6,85;;0,28;0,04;0,14;0,10;0,10;0,22;;0,07;0,05;Rendimiento;2006;;31/12/2029;
614;5,99;39;Senior;Carlos Gabriel Abeldaño;Carlos Abeldaño;2005;Argentina;Club Atlético Tucumán;1ª División Argentina;Diestro;Delantero;7;7;6;7;7;5;3;4;Zurdo. Delantero de área. Talla media. Corpulento y robusto, con físico compacto. Es buen rematador, finaliza con ambas piernas indistintamente y logra marcar goles con ambas. Dispara con fuerza. Tira de físico a la hora de jugar, pero no es torpe técnicamente. Es potente en carrera y cuando arranca y avanza con balón. Presiona y choca, no rehúye los duelos. Trabaja sin balón y es aguerrido en las disputas. Es más de jugar sin balón que con él. Va a los costados y ataca los espacios y la espalda de la defensa, tirando de explosividad. Ya está jugando con el primer equipo de Atlético Tucumán en Primera División.;B;B;Betis Deportivo;J.L. Tijerín;;;5,99;;0,28;0,04;0,14;0,10;0,10;0,22;;0,07;0,05;Rendimiento;2006;;-;
615;4,51;26;Senior;Souleymane Alio;Souleymane Alio;2006;Burkina Faso;FC Nordsjælland;1ª División Dinamarca;Diestro;Delantero;6;3;5;4;5;3;5;2;Diestro. Delantero de movilidad. Alto, espigado y muy fino físicamente. No es especialmente corpulento y eso a veces le penaliza en choques y cuerpeos. Posee una gran zancada que le beneficia en carrera y a la hora de rebañar el balón en las disputas. Limitado técnicamente. Esta temporada apenas está jugando en el Nordsjaelland.;C;C;Betis Deportivo;J.L. Tijerín;;;4,51;;0,28;0,04;0,14;0,10;0,10;0,22;;0,07;0,05;Rendimiento;2006;;-;
616;7,11;42;Juvenil;Jacob Brøchner Ambæk;Jacob Ambaek;2008;Dinamarca;Brøndby IF;1ª División Dinamarca;Ambidiestro;Delantero;8;6;7;7;7;7;4;3;"Ambaek es un jugador nacido en el año 2008, actualmente en etapa pre-élite, de talla media-alta y complexión atlética, bien formado a nivel muscular. Actúa principalmente como delantero, con un comportamiento muy móvil en el frente de ataque, y es de lateralidad diestra, aunque utiliza ambas piernas con una eficacia y una solvencia muy elevadas, no solo en controles orientados y primeros toques, sino también en la finalización.
A nivel ofensivo, presenta un impacto alto y sostenido, apoyado en su movilidad, su capacidad para atacar espacios y su producción de gol en un contexto competitivo muy exigente para su edad. Es un delantero que no se limita a ocupar el área, sino que cae en bandas, se activa fuera del carril central y sabe aprovechar ventajas en carrera o en controles con espacio. Tiene gol, interpreta bien dónde aparecer y además puede finalizar con precisión con ambas piernas, lo que le convierte en un perfil especialmente difícil de perfilar defensivamente. Su rendimiento ofensivo no depende de una única vía, ya que puede resolver tanto asociándose como atacando de forma individual.
En defensa, muestra una implicación positiva y constante. Es un jugador que trabaja sin balón, activa la presión y participa también tras pérdida, con una predisposición competitiva que suma valor a su perfil. No es solo un delantero de producción, sino uno que acompaña bien el esfuerzo colectivo y que puede sostener actividad defensiva en fases de presión alta.
En cuanto al ritmo, presenta un nivel alto, siendo un jugador rápido, dinámico y con facilidad para moverse con soltura. Tiene capacidad para atacar espacios, sostener esfuerzos y generar ventajas a través de la movilidad, con una zancada funcional y una coordinación que le permite ser peligroso tanto en espacios reducidos como en acciones de desplazamiento más largo.
En ejecución técnica, muestra un nivel notable. Es habilidoso, tiene calidad para jugar y destaca especialmente por su capacidad para utilizar ambas piernas con naturalidad en controles, apoyos, descargas y remates. No se limita a una técnica funcional de delantero, sino que tiene recursos para asociarse, jugar a pocos toques y también resolver acciones individuales de forma limpia.
A nivel táctico, interpreta bien los espacios y sabe cuándo salir de zona, cuándo fijar y cuándo aparecer en ventaja. Su movilidad no es desordenada, sino útil, y eso le permite relacionarse bien con el juego colectivo y adaptarse a distintos contextos dentro del ataque. Además, su capacidad para caer a banda y seguir siendo productivo refuerza su lectura táctica ofensiva.
En cuanto a la skill, presenta un rasgo diferencial claro en la combinación de movilidad, uso de ambas piernas y capacidad para generar peligro de distintas formas. No solo tiene gol, sino que es un delantero completo, con recursos para asociarse, desequilibrar y finalizar, y con una personalidad competitiva muy valiosa para su edad.
En mi opinión, para el contexto del Betis Deportivo, el jugador ofrecería un rendimiento muy alto, ya que combina producción ofensiva, capacidad para competir en un nivel superior al de su etapa y un perfil muy adaptable a diferentes estructuras ofensivas. Su proyección es claramente hacia contextos de máxima exigencia, sostenida por su precocidad competitiva, su capacidad para rendir ya en Primera División Danesa y su perfil ofensivo completo.";A;B;Betis Deportivo;Javi Galán;6,83;;7,40;;0,27;0,05;0,14;0,11;0,11;0,21;;0,07;0,05;Pre-élite;2008;;30/06/2031;
617;4,76;28;Juvenil;Oghenetejiri Kenneth Adejenughure;Kenneth Adejenughure;2007;Austria;FC Liefering;2ª División Austria;Diestro;Delantero;6;5;4;4;5;4;5;4;Diestro. Delantero de área, rematador. Tiene buena planta física. Jugador más bien de corte físico, técnicamente es limitado. Tira de fuerza en sus acciones. Presiona, juega de espaldas, cuerpea, lucha y brega. Es algo tosco de movimientos. Le falta un punto de velocidad y en aceleración le cuesta un poco la arrancada. Usa las dos piernas y finaliza con ambas. Es juvenil de último año jugando en la Segunda División austriaca con el Liefering, el filial del Red Bull Salzburg.;C;B;Betis Deportivo;J.L. Tijerín;;;4,76;;0,27;0,05;0,14;0,10;0,10;0,21;;0,07;0,05;Pre-élite;2007;;30/06/2029;
618;4,63;29;Senior;Felix Emmanuel Tsimba;Emmanuel Tsimba;2006;Suiza;Grasshopper Club Zurich;1ª División Suiza;Diestro;Delantero;6;7;4;4;5;3;5;4;Diestro. Delantero de área de corte físico. Corpulento, con tren superior robusto y fuerte y zancada amplia. Potente en arrancada, pero no tiene una gran punta de velocidad. Su ritmo de juego es más bien pausado. Técnicamente es limitado y es tosco con balón. Usa la zurda, pero no es muy habilidoso con ella. Baja balones y juega de espaldas, pero aunque gane los duelos luego le falta fluidez con el balón a la hora de asociarse. A nivel defensivo presiona la salida de balón rival. Va a los duelos aéreos, pero da la sensación de que le falta algo de contundencia en este aspecto y de que podría aprovechar mejor su corpulencia y planta física. Rompe a los espacios. Es internacional Sub 20 con Suiza.;C;C;Betis Deportivo;J.L. Tijerín;;;4,63;;0,28;0,04;0,14;0,10;0,10;0,22;;0,07;0,05;Rendimiento;2006;;30/06/2026;
619;6,81;38;Juvenil;Kevin Boubacar Filling;Kevin Filling;2008;Suecia;AIK;1ª División Suecia;Diestro;Delantero;7;6;7;6;6;6;4;3;"Kevin Filling es un jugador nacido en el año 2008, actualmente en etapa de desarrollo, de talla media-alta y complexión atlética, fuerte y bien formado a nivel muscular. Actúa principalmente como extremo, aunque también puede desempeñarse como delantero, y es de lateralidad diestra.
A nivel ofensivo, es un jugador con impacto real en la finalización y en el ataque de espacios, mostrando capacidad para generar peligro cuando el juego se abre y puede correr hacia delante. Su producción ofensiva tiene valor si se contextualiza en la exigencia competitiva en la que ya está participando, y su perfil encaja más en el de un atacante que amenaza por llegada, ruptura y presencia en remate que en el de un jugador generador de juego. Puede actuar tanto desde banda como por dentro o en punta, lo que le da versatilidad en el frente ofensivo y le permite adaptarse a distintas necesidades del ataque.
En defensa, participa con predisposición y capacidad de esfuerzo, siendo un jugador que puede sostener tareas básicas de presión y acompañar el trabajo sin balón. Su aportación en esta fase es funcional, con una implicación correcta para su rol, aunque sin llegar a ser un jugador que destaque por su impacto defensivo o por condicionar de forma clara al rival desde la recuperación o la agresividad en el duelo.
En cuanto al ritmo, presenta un ritmo alto, especialmente visible cuando puede atacar con espacios. Es un jugador rápido, con capacidad para correr hacia delante y sostener acciones en transición, siendo peligroso cuando recibe en ventaja o cuando encuentra metros para acelerar. No es un perfil especialmente dinámico, pero sí tiene una velocidad útil y un componente vertical claro que le permite marcar diferencias en escenarios abiertos.
En ejecución técnica, muestra un nivel correcto, con recursos suficientes para controlar, perfilarse y finalizar acciones con solvencia. Tiene capacidad para resolver en determinadas situaciones desde parado, pero no es generalmente un jugador hábil en el regate ni especialmente desequilibrante en el uno contra uno estático. Su técnica está más al servicio de la funcionalidad ofensiva y de la finalización que de la elaboración o de la creatividad en espacios reducidos.
A nivel táctico, muestra una comprensión básica de su rol ofensivo, especialmente en la ocupación de espacios, en la amenaza al espacio libre y en la adaptación a distintas posiciones de ataque. Sin embargo, todavía presenta margen de mejora en la gestión de las acciones, en la lectura del juego asociativo y en la toma de decisiones, siendo un perfil más orientado a ejecutar contextos sencillos de ataque que a organizar o interpretar situaciones complejas.
En cuanto a la skill, presenta recursos ofensivos útiles y un perfil versátil, con capacidad para jugar tanto en banda como en punta y para aprovechar su físico en acciones de ataque. No es un jugador especialmente creativo ni diferencial en el regate, pero sí tiene herramientas para resultar productivo en contextos que premien la verticalidad, el espacio y la finalización.
En mi opinión, para el contexto Betis Deportivo, el jugador ofrecería un rendimiento competitivo como perfil ofensivo de apoyo, especialmente en escenarios donde pueda explotar su físico, su velocidad y su capacidad para atacar espacios. Su proyección hacia el fútbol profesional dependerá en gran medida de su evolución en la comprensión táctica, en la consistencia de sus decisiones y en su capacidad para ampliar su impacto más allá de la finalización y la transición, aunque por edad, contexto competitivo y condiciones físicas parte de una base interesante para seguir creciendo.";B;B;Betis Deportivo;Javi Galán;6,14;;7,49;;0,27;0,05;0,14;0,11;0,11;0,21;;0,07;0,05;Pre-élite;2008;;30/06/2028;
620;4,41;26;Senior;Oleksandr Pyshchur;Oleksandr Pyshchur;2005;Ucrania;ETO FC;1ª División Hungría;Diestro;Delantero;6;4;4;4;5;3;5;2;Diestro. Delantero de área que destaca por su planta física. Talla muy alta (2,04 m.) y espigado físicamente. Posee una zancada amplia que le ayuda en carrera, pero no le convierte en un delantero rápido ni en carrera ni en conducción. Es rígido de movimientos y tosco en sus acciones, no es especialmente desequilibrante en sus jugadas con balón. Rematador puro, no se caracteriza por su juego asociativo. Jugador de corte físico que basa su juego en su superioridad física, la cual le hace poderoso en cuerpeos, juego de espaldas y bajar y quedarse balones. Su gran altura le da una notable ventaja en duelos aéreos, tanto defensivos, como en prolongaciones como para remate de finalización, logrando goles así. Es internacional Sub 21 con Ucrania y recientemente jugó el Mundial Sub 20.;C;C;Betis Deportivo;J.L. Tijerín;;;4,41;;0,28;0,04;0,14;0,10;0,10;0,22;;0,07;0,05;Rendimiento;2006;;30/06/2028;
621;6,12;39;Juvenil;José Kadir Barría Rose;Kadir Barría;2007;Panamá;Botafogo de Futebol e Regatas;1ª División Brasil;Diestro;Delantero;7;7;6;6;7;6;3;4;Diestro. Juvenil de último año que ya está teniendo participación con el primer equipo de Botafogo, que lo fichó el pasado mes de agosto y con quien ya ha marcado dos goles en la máxima categoría del fútbol brasileño. Delantero de movilidad. Talla media. Físicamente es corpulento y fuerte, con tren superior bien musculado y tren inferior ancho. Es un jugador de corte físico, ya que tira más de potencia que de técnica a la hora de jugar. Con balón no es del todo torpe, pero sí es tosco en su manejo y a la hora de jugarlo. Tiende a usar la zurda, pero tiene que pulirla para perfeccionar sus acciones con ella. No retiene mucho el esférico, tiende a soltarlo rápido. Puede combinar con los compañeros, pero no es un jugador especialmente asociativo. No es un futbolista estático, se mueve en busca del balón y baja a recibirlo. Es rocoso en los cuerpeos y juego de espaldas, procura hacerse fuerte ahí. Sin embargo, no tiene una gran altura y eso le condiciona en los duelos aéreos, no siendo especialmente ganador en esta faceta, y en la finalización de cabeza. Potente en arrancada y en carrera, aprovecha su fortaleza en sus acciones. No tiene una gran punta de velocidad, pero no se le puede considerar lento. Sin balón presiona con intensidad, repite esfuerzos y trabaja en la recuperación del esférico. Trata de jugar a buen ritmo. Tiene buen disparo, le da con fuerza. Es internacional absoluto con Panamá.;A;B;Betis Deportivo;J.L. Tijerín;;;6,12;;0,27;0,05;0,14;0,10;0,10;0,21;;0,07;0,05;Pre-élite;2007;;31/12/2029;
622;4,09;25;Juvenil;Srdjan Borovina;Srdjan Borovina;2007;Serbia;FK Radnicki 1923 Kragujevac;1ª División Serbia;Diestro;Delantero;5;4;4;4;5;3;3;4;Diestro. Delantero de área. Talla media. Corpulento y fuerte, con físico compacto y robusto y fuerte tren superior e inferior. Es tosco de movimientos, no tiene mucha destreza. No es especialmente rápido, ni en carrera ni con balón, pero sí es potente. No tiene una gran arrancada y su ritmo de juego no es muy alto. Es un jugador de corte físico, no es habilidoso técnicamente. Delantero rematador, es un perfil más bien para finalizar jugada, pero trata de participar en el juego, aunque lo hace sin mucha fluidez. No es especialmente asociativo. Remata con las dos piernas y hace goles con ambas. Es lanzador de penaltis. Baja a recibir el balón y juega de espaldas, recibe el esférico y toca de cara con los compañeros. No retiene mucho el balón, lo suelta rápido. Presiona y va a los duelos, pero le falta algo de intensidad y contundencia para ser más ganador, al igual que en la presión tras pérdida. No es especialmente poderoso en los duelos aéreos.;C;C;Betis Deportivo;J.L. Tijerín;;;4,09;;0,27;0,05;0,14;0,10;0,10;0,21;;0,07;0,05;Pre-élite;2007;;30/06/2029;
623;6,09;37;Juvenil;Simón Valentín Escobar;Simón Escobar;2009;Argentina;CA Vélez Sarsfield U20;División de Honor Juvenil Argentina;Zurdo;Lateral;7;6;7;6;4;7;4;2;"Simón Escobar es un jugador nacido en el año 2009, actualmente en etapa pre-élite (Juvenil), de altura media-alta y complexión atlética. Actúa principalmente como lateral y es de lateralidad zurda.
A nivel ofensivo, genera peligro de forma frecuente a través de sus incorporaciones, centros y presencia en campo rival, mostrando una clara vocación ofensiva y capacidad para proyectarse con continuidad. Su impacto en esta fase se produce especialmente cuando puede activar ventajas en los primeros metros o llegar en carrera, siendo un jugador que suma desde la profundidad más que desde la elaboración.
En defensa, interviene con frecuencia y tiene capacidad para imponerse en acciones de duelo y recuperación, apoyado en su físico y agresividad. Sin embargo, su impacto es irregular, ya que tiende a defender de forma frontal, con una gestión del riesgo limitada y dificultades en la temporización y el ajuste, lo que en determinadas situaciones puede comprometer la estabilidad defensiva del equipo.
En cuanto al ritmo, presenta un ritmo alto, destacando especialmente en su primer impulso y capacidad de aceleración en distancias cortas, lo que le permite activar presión, anticipar y ganar ventaja en acciones inmediatas. No obstante, su rendimiento disminuye en esfuerzos sostenidos y recorridos largos, siendo un perfil más explosivo que constante en el ida y vuelta.
En ejecución técnica, muestra una buena base, con precisión y seguridad en control, pase y centro. Es un jugador fiable en la circulación y con capacidad para ejecutar acciones ofensivas con limpieza, aportando continuidad al juego desde el carril.
A nivel táctico, presenta un comportamiento irregular, especialmente en la gestión del riesgo, la ocupación de espacios y el ajuste defensivo. Su lectura de las acciones es inconsistente y su actitud ante el error no siempre refleja un nivel de concentración y responsabilidad competitivo alto, lo que limita su fiabilidad dentro de una estructura organizada.
En cuanto a la skill, presenta recursos interesantes, especialmente en conducción y centro, con capacidad para generar acciones poco previsibles en fase ofensiva. Sin embargo, no es un jugador constantemente desequilibrante en el uno contra uno, sino más orientado a aprovechar ventajas previamente generadas.
En mi opinión, para el contexto Betis Juvenil DH, el jugador ofrecería un rendimiento adecuado a corto plazo como perfil de impacto desde el lateral, especialmente en escenarios donde pueda explotar su capacidad física y su proyección ofensiva. Su proyección hacia el fútbol profesional dependerá en gran medida de su evolución en el apartado táctico y en la gestión del riesgo, ya que sus condiciones físicas y técnicas le permiten aspirar a contextos competitivos de mayor nivel si logra mejorar su fiabilidad y madurez competitiva";B;B;Betis Juvenil DH;Javi Galán;6,04;6,14;;;0,11;0,25;0,26;0,11;0,10;0,10;;0,05;0,04;Pre-élite;2009;;31/12/2027;
